epochs,BLEU1,BLEU2,BLEU3,BLEU4
0 ,0.0, 0.0, 0.0, 0.0 
1,0.5474405279910506,0.3908622904372687,0.21236863544081697,0.13096852796797706
2,0.5647495506534187,0.41158008166616505,0.23030468743626434,0.14464336821348361
3,0.5613568004729724,0.4226821918682297,0.22847366520526385,0.1416807611921046
4,0.5830014491671383,0.4387374804161563,0.24816146973336098,0.16569089303807458     
5,0.5519409985241979,0.4090205599906509,0.23043105210030995,0.14575242821981424
6,0.5655108626182138,0.42644822872540894,0.23507078371922913,0.1547545786963935
7,0.5575931141163647,0.4120454049036245,0.23321890829816394,0.1428155925977661
8,0.5526385522971223,0.4076231000229419,0.22549454254193338,0.1395639515655351
9,0.5516700263232811,0.40273985526565503,0.2287409191054599,0.14552681638969397
10,0.5504049278108494,0.40116761369347786,0.22657469999830218,0.14468279039756174
11,0.5405699656343662,0.382112820663107,0.2202722441913487,0.13245818823864403
12,0.5455518303696179,0.4024828132709189,0.2237411571006965,0.14023613525065606
13,0.5568884558535696,0.41983429166360875,0.23181266642543324,0.15010265991277147
14,0.5439980458302647,0.38699929122159116,0.21987819106546336,0.13455979126363363
15,0.5434501070029623,0.39776917771255454,0.2226072465881349,0.13654644798789833
16,0.5422406731114165,0.39922564317209785,0.22430246962157488,0.142302440288461
17,0.5425981534415028,0.4055979165229994,0.22568806536450067,0.14022724093501804
18,0.5245236991230511,0.3825937512921364,0.2086944751751981,0.12448086447567895
19,0.5533025183222133,0.4123884446517225,0.2292557071843638,0.14405566327084013
