epochs,BLEU1,BLEU2,BLEU3,BLEU4
0,0.00015800908199063926,0.0,0.0,0.0
1,0.6096477766294837,0.4709498731781083,0.25915684813823764,0.08789227265771166
2,0.6123830661501014,0.4734703846637814,0.2620114595946583,0.09381760609228221
3,0.604402133279283,0.4707155267537117,0.2571019012235957,0.10931338321725866
4,0.6299644883167651,0.48924850049418894,0.2824474089311183,0.14928901184415738
5,0.609615041729583,0.47162912944366714,0.26602101238926756,0.11189650749791735
6,0.6215557101010282,0.4850711432395423,0.2774549126650814,0.13892584874101738
7,0.6081483782135332,0.47029481972371834,0.26008210182793284,0.10230784843036209
8,0.6081808806145381,0.4693446994400262,0.2610351878416831,0.10907639828923543
9,0.6075908468253344,0.4723246070846427,0.2686511623483124,0.1166543737635143
10,0.6153144890656973,0.4785981686444044,0.27519025029542826,0.13532618395049723
11,0.6033189657189132,0.4630021139796887,0.26075739654433333,0.0976900304434959
12,0.6097189061656012,0.4728070648555202,0.26657837955051206,0.11265570899784719
13,0.6086777512402772,0.474162959423613,0.2682046469458444,0.12236386047223329
14,0.6102616958251713,0.47421702332136134,0.270245215198297,0.11948314299481366
15,0.6076878375829416,0.46778078136534096,0.26657483563542295,0.11555021206248473
16,0.6092139647209639,0.4722424014503662,0.26827854837036913,0.12334456116640942
17,0.6111381441894084,0.47641512282331033,0.2678067390726956,0.12378500563331844
18,0.5988859980890084,0.4596346364553952,0.25861060932542046,0.10854105442488662
19,0.6086738544632888,0.4736934428555961,0.2659603489160761,0.1154017773282674
