epochs,BLEU1,BLEU2,BLEU3,BLEU4
0,0.0021890242938699105,0.0,0.0,0.0
1,0.4039930621774232,0.22457807565870586,0.0720084444160768,0.022555089268171926
2,0.41187499499795716,0.23067279504187171,0.07793378178342962,0.026258504142903445
3,0.4043130844282569,0.23292933586313835,0.07775057628331403,0.02577011617433641
4,0.4091961442577702,0.2305880693221031,0.07866447347409636,0.029378151135902125
5,0.4049723431900837,0.22711736333977528,0.07680920448390399,0.02686898245798277
6,0.41036123697854376,0.2326936356271903,0.08153381386675042,0.030544677840513765
7,0.41676027418480116,0.23782922152364333,0.0822305203973364,0.028150183174986507
8,0.4105238657840753,0.23024661555914228,0.07856446323589258,0.027396510639740218
9,0.40927348961071747,0.2286291355004123,0.07832072294568641,0.027493139377933302
10,0.41109090572660495,0.2317559557679747,0.0800117102795419,0.029797930501102694
11,0.4104370118006431,0.22874106454169818,0.08004058363350594,0.026894412510966727
12,0.405630571746258,0.2294719124925839,0.07912268382689357,0.026742386987972537
13,0.4101210251743382,0.23619513877314494,0.08218905735895576,0.029799013736865842
14,0.407967533746728,0.2241754783830658,0.0779915850961983,0.027110015403949507
15,0.41132592383701133,0.23171738420953228,0.08080012124909576,0.0302158188635497
16,0.4089997614404242,0.2297978190947622,0.07990210773557595,0.028711747344632572
17,0.4092504615294312,0.23298851022787087,0.08094038838697602,0.02935725314321547
18,0.40317632204649,0.22455839745081563,0.07540828832128103,0.027231127128178673
19,0.4116033716989067,0.23841741798254645,0.08353601954435905,0.030483661807739475

